,State,Mathematics,Writing,TotalSATscore
0,Alabama,538.0,533,1616
1,Alaska,503.0,482,1494
2,Arizona,527.0,502,1552
3,Arkansas,569.0,551,1688
4,California,506.0,491,1492
5,Colorado,587.0,567,1736
6,Connecticut,506.0,504,1514
7,Delaware,461.0,445,1368
8,District of Columbia,440.0,432,1313
9,Florida,480.0,468,1434
10,Georgia,485.0,475,1450
11,Hawaii,508.0,477,1472
12,Idaho,463.0,442,1372
13,Illinois,616.0,587,1802
14,Indiana,499.0,478,1473
15,Iowa,600.0,566,1755
16,Kansas,592.0,568,1748
17,Kentucky,587.0,574,1749
18,Louisiana,559.0,553,1675
19,Maine,473.0,451,1392
20,Maryland,493.0,478,1462
21,Massachusetts,529.0,507,1552
22,Michigan,609.0,585,1788
23,Minnesota,607.0,576,1778
24,Mississippi,563.0,570,1713
25,Missouri,599.0,582,1777
26,Montana,556.0,538,1655
27,Nebraska,590.0,576,1755
28,Nevada,494.0,470,1458
29,New Hampshire,530.0,511,1566
30,New Jersey,521.0,499,1520
31,New Mexico,544.0,528,1623
32,New York,502.0,478,1469
33,North Carolina,504.0,476,1478
34,North Dakota,608.0,586,1791
35,Ohio,563.0,537,1657
36,Oklahoma,569.0,548,1693
37,Oregon,521.0,502,1546
38,Pennsylvania,504.0,842,1485
39,Puerto Rico,450.0,450,1363
40,Rhode Island,494.0,484,1472
41,South Carolina,487.0,467,1442
42,South Dakota,597.0,564,1753
43,Tennessee,574.0,568,1723
44,Texas,486.0,454,1410
45,Utah,575.0,554,1708
46,Vermont,524.0,507,1554
47,Virginia,NaN,499,1533
48,Virgin Islands,388.0,412,1214
49,Washington,510.0,484,1496
50,West Virginia,497.0,495,1501
51,Wisconsin,605.0,575,1771
52,Wyoming,586.0,562,1737
